waktu,nilai
2025-04-22T11:00:00+07:00,5
2025-04-22T11:08:00+07:00,5
2025-04-22T11:16:00+07:00,4
2025-04-22T11:24:00+07:00,5
2025-04-22T11:32:00+07:00,3
2025-04-22T11:40:00+07:00,4
2025-04-22T11:48:00+07:00,5
2025-04-22T11:56:00+07:00,5
2025-04-22T12:04:00+07:00,10
2025-04-22T12:12:00+07:00,60
2025-04-22T12:20:00+07:00,77
2025-04-22T12:28:00+07:00,82
2025-04-22T12:36:00+07:00,88
2025-04-22T12:44:00+07:00,91
2025-04-22T12:52:00+07:00,87
2025-04-22T13:00:00+07:00,88
2025-04-22T13:08:00+07:00,85
2025-04-22T13:16:00+07:00,91
2025-04-22T13:24:00+07:00,89
2025-04-22T13:32:00+07:00,86
2025-04-22T13:40:00+07:00,84
2025-04-22T13:48:00+07:00,78
2025-04-22T13:56:00+07:00,78
2025-04-22T14:04:00+07:00,79
2025-04-22T14:12:00+07:00,75
2025-04-22T14:20:00+07:00,77
2025-04-22T14:28:00+07:00,80
2025-04-22T14:36:00+07:00,77
2025-04-22T14:44:00+07:00,77
2025-04-22T14:52:00+07:00,78
2025-04-22T15:00:00+07:00,80
2025-04-22T15:08:00+07:00,81
2025-04-22T15:16:00+07:00,81
2025-04-22T15:24:00+07:00,82
2025-04-22T15:32:00+07:00,80
2025-04-22T15:40:00+07:00,83
2025-04-22T15:48:00+07:00,79
2025-04-22T15:56:00+07:00,79
2025-04-22T16:04:00+07:00,85
2025-04-22T16:12:00+07:00,82
2025-04-22T16:20:00+07:00,86
2025-04-22T16:28:00+07:00,81
2025-04-22T16:36:00+07:00,84
2025-04-22T16:44:00+07:00,86
2025-04-22T16:52:00+07:00,86
2025-04-22T17:00:00+07:00,81
2025-04-22T17:08:00+07:00,84
2025-04-22T17:16:00+07:00,90
2025-04-22T17:24:00+07:00,87
2025-04-22T17:32:00+07:00,90
2025-04-22T17:40:00+07:00,88
2025-04-22T17:48:00+07:00,86
2025-04-22T17:56:00+07:00,89
2025-04-22T18:04:00+07:00,88
2025-04-22T18:12:00+07:00,90
2025-04-22T18:20:00+07:00,90
2025-04-22T18:28:00+07:00,89
2025-04-22T18:36:00+07:00,85
2025-04-22T18:44:00+07:00,87
2025-04-22T18:52:00+07:00,88
2025-04-22T19:00:00+07:00,99
2025-04-22T19:08:00+07:00,90
2025-04-22T19:16:00+07:00,88
2025-04-22T19:24:00+07:00,90
2025-04-22T19:32:00+07:00,87
2025-04-22T19:40:00+07:00,86
2025-04-22T19:48:00+07:00,92
2025-04-22T19:56:00+07:00,91
2025-04-22T20:04:00+07:00,92
2025-04-22T20:12:00+07:00,89
2025-04-22T20:20:00+07:00,84
2025-04-22T20:28:00+07:00,92
2025-04-22T20:36:00+07:00,100
2025-04-22T20:44:00+07:00,90
2025-04-22T20:52:00+07:00,93
2025-04-22T21:00:00+07:00,93
2025-04-22T21:08:00+07:00,89
2025-04-22T21:16:00+07:00,96
2025-04-22T21:24:00+07:00,88
2025-04-22T21:32:00+07:00,90
2025-04-22T21:40:00+07:00,89
2025-04-22T21:48:00+07:00,89
2025-04-22T21:56:00+07:00,91
2025-04-22T22:04:00+07:00,94
2025-04-22T22:12:00+07:00,90
2025-04-22T22:20:00+07:00,94
2025-04-22T22:28:00+07:00,94
2025-04-22T22:36:00+07:00,89
2025-04-22T22:44:00+07:00,96
2025-04-22T22:52:00+07:00,91
2025-04-22T23:00:00+07:00,93
2025-04-22T23:08:00+07:00,90
2025-04-22T23:16:00+07:00,95
2025-04-22T23:24:00+07:00,91
2025-04-22T23:32:00+07:00,97
2025-04-22T23:40:00+07:00,95
2025-04-22T23:48:00+07:00,97
2025-04-22T23:56:00+07:00,97
2025-04-23T00:04:00+07:00,93
2025-04-23T00:12:00+07:00,57
2025-04-23T00:20:00+07:00,24
2025-04-23T00:28:00+07:00,19
2025-04-23T00:36:00+07:00,13
2025-04-23T00:44:00+07:00,12
2025-04-23T00:52:00+07:00,12
2025-04-23T01:00:00+07:00,11
2025-04-23T01:08:00+07:00,11
2025-04-23T01:16:00+07:00,9
2025-04-23T01:24:00+07:00,8
2025-04-23T01:32:00+07:00,9
2025-04-23T01:40:00+07:00,9
2025-04-23T01:48:00+07:00,9
2025-04-23T01:56:00+07:00,8
2025-04-23T02:04:00+07:00,7
2025-04-23T02:12:00+07:00,5
2025-04-23T02:20:00+07:00,8
2025-04-23T02:28:00+07:00,8
2025-04-23T02:36:00+07:00,8
2025-04-23T02:44:00+07:00,9
2025-04-23T02:52:00+07:00,8
2025-04-23T03:00:00+07:00,7
2025-04-23T03:08:00+07:00,7
2025-04-23T03:16:00+07:00,6
2025-04-23T03:24:00+07:00,9
2025-04-23T03:32:00+07:00,7
2025-04-23T03:40:00+07:00,8
2025-04-23T03:48:00+07:00,7
2025-04-23T03:56:00+07:00,7
2025-04-23T04:04:00+07:00,6
2025-04-23T04:12:00+07:00,7
2025-04-23T04:20:00+07:00,10
2025-04-23T04:28:00+07:00,7
2025-04-23T04:36:00+07:00,8
2025-04-23T04:44:00+07:00,7
2025-04-23T04:52:00+07:00,8
2025-04-23T05:00:00+07:00,8
2025-04-23T05:08:00+07:00,9
2025-04-23T05:16:00+07:00,10
2025-04-23T05:24:00+07:00,9
2025-04-23T05:32:00+07:00,10
2025-04-23T05:40:00+07:00,10
2025-04-23T05:48:00+07:00,12
2025-04-23T05:56:00+07:00,12
2025-04-23T06:04:00+07:00,10
2025-04-23T06:12:00+07:00,10
2025-04-23T06:20:00+07:00,9
2025-04-23T06:28:00+07:00,8
2025-04-23T06:36:00+07:00,8
2025-04-23T06:44:00+07:00,10
2025-04-23T06:52:00+07:00,7
2025-04-23T07:00:00+07:00,9
2025-04-23T07:08:00+07:00,8
2025-04-23T07:16:00+07:00,8
2025-04-23T07:24:00+07:00,10
2025-04-23T07:32:00+07:00,8
2025-04-23T07:40:00+07:00,7
2025-04-23T07:48:00+07:00,8
2025-04-23T07:56:00+07:00,7
2025-04-23T08:04:00+07:00,7
2025-04-23T08:12:00+07:00,5
2025-04-23T08:20:00+07:00,6
2025-04-23T08:28:00+07:00,6
2025-04-23T08:36:00+07:00,5
2025-04-23T08:44:00+07:00,6
2025-04-23T08:52:00+07:00,6
2025-04-23T09:00:00+07:00,5
2025-04-23T09:08:00+07:00,6
2025-04-23T09:16:00+07:00,5
2025-04-23T09:24:00+07:00,6
2025-04-23T09:32:00+07:00,5
2025-04-23T09:40:00+07:00,5
2025-04-23T09:48:00+07:00,5
2025-04-23T09:56:00+07:00,5
2025-04-23T10:04:00+07:00,4
2025-04-23T10:12:00+07:00,5
2025-04-23T10:20:00+07:00,5
2025-04-23T10:28:00+07:00,5
2025-04-23T10:36:00+07:00,5
2025-04-23T10:44:00+07:00,5
2025-04-23T10:52:00+07:00,5
